CodigoMunicipio,MunicipioResidencia,Total_casos_dengue,POP_TOT,PIB_PER_CAPITA,IDH-M,GINI,IN055_AE,IN056_AE,IN024_AE,IN015_AE,IN022_AE,IN049_AE,IN016_AE,IN015_RS,Índice de pavimentação das vias públicas,CS001,Msau28,Mgrd06,Mgrd08,Mgrd11,IndiceSurto,Surto
351500,EMBU DAS ARTES,5472,250691,51258.86,0.735,0.49,100.0,84.78,81.27,56.32,129.6,31.47,84.65,100.0,91.15,SIM,Não,Sim,Sim,Sim,2182.76683247504,True
351510,EMBU-GUACU,1605,66970,20683.01,0.749,0.516,71.16,39.34,41.88,37.94,129.4,42.11,100.0,93.24,71.67,NAO,Não,Sim,Sim,Sim,2396.5954905181425,True
351512,EMILIANOPOLIS,14,3014,24451.77,0.727,0.385,76.05,75.98,100.0,97.56,175.6,13.51,100.0,82.35,100.0,SIM,Sim,Não,Não,Não,464.49900464499,True
351515,ENGENHEIRO COELHO,724,19566,30446.44,0.732,0.459,100.0,100.0,100.0,100.0,114.3,48.53,0.0,75.21,99.66,NAO,Sim,Não,Não,Não,3700.296432587141,True
351518,ESPIRITO SANTO DO PINHAL,4202,39816,46311.65,0.787,0.573,88.65,87.59,100.0,95.47,170.5,39.85,100.0,100.0,98.23,SIM,Não,Não,Não,Não,10553.546313039984,True
351519,ESPIRITO SANTO DO TURVO,118,4157,18630.23,0.696,0.386,85.25,85.25,99.41,97.91,157.3,33.87,100.0,98.51,94.74,SIM,Não,Não,Não,Não,2838.585518402694,True
351520,ESTRELA D'OESTE,895,9417,89460.5,0.76,0.397,82.88,81.63,100.0,98.43,173.9,10.71,100.0,99.87,99.73,NAO,Sim,Não,Não,Não,9504.088350854838,True
351530,ESTRELA DO NORTE,19,2703,22511.33,0.74,0.439,77.73,76.62,100.0,99.97,158.7,16.13,100.0,75.84,98.06,SIM,Sim,Sim,Sim,Sim,702.9226785053644,True
351535,EUCLIDES DA CUNHA PAULISTA,18,7924,14708.88,0.704,0.457,72.96,62.67,95.71,96.02,144.3,18.96,100.0,,84.97,NAO,Sim,Não,Não,Sim,227.15800100959112,False
351540,FARTURA,1581,16641,29419.47,0.732,0.435,71.75,70.84,100.0,93.48,162.8,26.21,100.0,96.15,97.66,SIM,Não,Não,Não,Não,9500.630971696412,True
351550,FERNANDOPOLIS,2772,71186,35430.06,0.797,0.494,96.61,95.95,100.0,98.71,202.7,12.67,100.0,97.81,95.04,SIM,Sim,Sim,Sim,Sim,3894.024105863512,True
351560,FERNANDO PRESTES,150,5942,35416.65,0.758,0.418,89.55,88.4,100.0,99.99,180.5,14.74,100.0,84.65,97.81,NAO,Sim,Não,Não,Não,2524.402558061259,True
351565,FERNAO,26,1656,46552.1,0.703,0.408,54.77,53.8,100.0,99.97,163.7,12.22,100.0,93.96,100.0,SIM,Sim,Não,Não,Não,1570.048309178744,True
